seed,station,group,variant,n,rmse,mae,bias,mean_predicted_ghi,rmse_delta_vs_original,mae_delta_vs_original,mean_ghi_shift_vs_original,fraction_ghi_shift_positive
44,sili,predicted_sunny,sunny_median,3046,77.79312932851632,59.57160573772219,-36.80663605722148,467.1132588869676,-0.10090663943472578,-0.20323264743107927,0.36810297650534013,0.37130663164806305
44,sili,predicted_partly_cloudy,sunny_median,24518,153.98908629337737,113.06361287520933,-34.29997030668216,485.21911771028493,2.1600342733819673,1.6493947836692797,-3.1781304620997326,0.4303776817032384
44,sili,predicted_overcast,sunny_median,22242,192.5810012864783,142.46172344877252,34.195753538115866,373.7098709735983,4.879618569202449,10.07010299654516,62.71803868552805,0.9152054671342505
44,zhujia,all,sunny_median,50043,138.26294229770176,102.6057455713076,-21.03025788278657,365.857425842543,1.7629139469677853,3.6238006046080073,11.72066572492426,0.6096956617309114
44,zhujia,predicted_sunny,sunny_median,24375,129.77362687903315,93.88247968099486,-13.113291328966051,395.97868911547846,-0.10100044128836316,-0.19983889167092173,0.41626355070564447,0.5505230769230769
44,zhujia,predicted_partly_cloudy,sunny_median,13481,149.7882454756544,117.0086509172263,-61.08116150298622,400.1375643581023,6.6549428256834915,4.815502893688162,-5.71149442717079,0.41977598101031083
44,zhujia,predicted_overcast,sunny_median,12187,141.40489493072306,104.12080580828496,7.438616487816198,267.6924681330119,-0.40570601125352823,9.953157637734236,53.613482169247895,0.938130795109543
44,sili,all,drop_mean,49806,163.38888819536837,113.07047333856322,-17.127164804315445,421.0526127325275,-2.298990441489309,-4.553555472985522,13.20396378772057,0.8124121591776091
44,sili,predicted_sunny,drop_mean,3046,72.69731343403453,51.233046045913774,-14.958061789223535,488.9618331549656,-5.196722533916514,-8.541792339239493,22.21667724450329,0.8476690741956664
44,sili,predicted_partly_cloudy,drop_mean,24518,148.57566876726517,104.26913241675537,-11.020593451975584,508.4984945649915,-3.253383252730231,-7.145085674784681,20.10124639260685,0.8234358430540827
44,sili,predicted_overcast,drop_mean,22242,186.33896732880152,131.240965212239,-24.15566962405461,315.35844781142777,-1.3624153884743464,-1.1506552399883674,4.366615523357563,0.7954320654617391
44,zhujia,all,drop_mean,50043,134.928607335478,93.81779869353575,-17.638428229100988,369.2492554962285,-1.5714210152559644,-5.164146273163837,15.112495378609843,0.7870831085266671
44,zhujia,predicted_sunny,drop_mean,24375,131.3178764011118,87.79280036166604,6.391533073228254,415.48351351767275,1.443249080790281,-6.289518210999745,19.921087952899953,0.7331282051282051
44,zhujia,predicted_partly_cloudy,drop_mean,13481,136.21246367344406,104.81596927861636,-39.256046520184746,421.9626793409037,-6.920838976526852,-7.377178744921778,16.113620555630682,0.8382167494992953
44,zhujia,predicted_overcast,drop_mean,12187,140.5113132121757,93.70234753097338,-41.78737338067031,218.46647826452536,-1.2992877298008807,-0.46530063957733603,4.387492300761372,0.8384343973086076
44,sili,all,drop_std,49806,165.68672361322152,117.35421327578302,-31.591725600971714,406.5880519358712,-0.001155023636158603,-0.2698155357657157,-1.2605970089356975,0.452314982130667
44,sili,predicted_sunny,drop_std,3046,78.41652689980945,60.62955073692897,-38.37269074794877,465.5472041962403,0.5224909318584139,0.8547123517757029,-1.197951714221945,0.3703217334208798
